"time","morat_hh","morat_nfi","loans_hh","loans_nfi","morat_sh_hh","morat_sh_nfi"
2020-09-04,252393.8177,191408.1052,1691601.947,1357312.584,0.149204024,0.141019915
2020-08-28,251861,191369,1691601.947,1357312.584,0.148889046,0.140991104
2020-08-21,251519,190399,1691601.947,1357312.584,0.148686871,0.140276457
2020-08-14,251116,189655,1691601.947,1357312.584,0.148448635,0.139728315
2020-08-07,250730,189491,1691601.947,1357312.584,0.148220449,0.139607488
2020-07-31,250040,188892,1691601.947,1357312.584,0.147812552,0.139166175
2020-07-24,248501,186504,1691601.947,1357312.584,0.146902763,0.137406816
2020-07-17,247515,191777,1691601.947,1357312.584,0.146319884,0.141291698
2020-07-10,245954,182317,1691601.947,1357312.584,0.14539709,0.134322044
2020-07-03,243611,175569,1691601.947,1357312.584,0.144012012,0.129350455
2020-06-26,235520,170304,1691601.947,1357312.584,0.139228972,0.125471466
2020-06-19,230224,165553,1691601.947,1357312.584,0.136098212,0.121971167
2020-06-12,223598,157536,1691601.947,1357312.584,0.132181215,0.116064643
2020-06-05,219228,152442,1691601.947,1357312.584,0.129597865,0.112311638
2020-05-29,207973,143390,1691601.947,1357312.584,0.122944408,0.105642578
