"time","Vacancies","urate","Unemployed","id"
2019-01-01,331453,3.255796728,245057,"MPSV"
2019-02-01,333111,3.19693436,241417,"MPSV"
2019-03-01,339331,2.990711439,227053,"MPSV"
2019-04-01,339919,2.748938698,209828,"MPSV"
2019-05-01,346552,2.623005365,200675,"MPSV"
2019-06-01,342510,2.567243623,195723,"MPSV"
2019-07-01,346563,2.718921135,205120,"MPSV"
2019-08-01,350564,2.722128487,204789,"MPSV"
2019-09-01,345354,2.670918058,201907,"MPSV"
2019-10-01,337453,2.58787509,196518,"MPSV"
2019-11-01,338670,2.59184798,197289,"MPSV"
2019-12-01,340957,2.868371298,215532,"MPSV"
2020-01-01,341391,3.071025494,230022,"MPSV"
2020-02-01,351624,3.030174574,227369,"MPSV"
2020-03-01,342287,3.008023663,225678,"MPSV"
2020-04-01,332748,3.43974721,254040,"MPSV"
2020-05-01,331050,3.622476256,266144,"MPSV"
2020-06-01,334904,3.67849169260062,269637,"MPSV"
