time,Vacancies,urate,Unemployed
01-01-19,331453,3.255796728,245057
01-02-19,333111,3.19693436,241417
01-03-19,339331,2.990711439,227053
01-04-19,339919,2.748938698,209828
01-05-19,346552,2.623005365,200675
01-06-19,342510,2.567243623,195723
01-07-19,346563,2.718921135,205120
01-08-19,350564,2.722128487,204789
01-09-19,345354,2.670918058,201907
01-10-19,337453,2.58787509,196518
01-11-19,338670,2.59184798,197289
01-12-19,340957,2.868371298,215532
01-01-20,341391,3.071025494,230022
01-02-20,351624,3.030174574,227369
01-03-20,342287,3.008023663,225678
01-04-20,332748,3.43974721,254040
01-05-20,331050,3.622476256,266144
