nace_kod,va,va_business,va_hh
05,23340,23340,
06,5245,5245,
07,1071,1071,
08,6104,5976,128
09,1898,1890,8
10,58674,51700,6974
11,26184,19974,6210
12,4811,4717,94
13,14642,13877,765
14,8099,4471,3628
15,2399,2018,381
16,24926,16069,8857
17,18097,17756,341
18,14568,11425,3090
19,4794,4791,3
20,40096,39432,664
21,17707,12102,5605
22,87664,86178,1486
23,51138,48781,2357
24,41501,41131,370
25,125006,104043,20963
26,61939,60635,1304
27,85973,80216,5757
28,105429,103639,1790
29,213919,213488,431
30,24732,24568,164
31,13181,8566,4615
32,22993,18994,3999
33,40386,33554,6832
35,140369,136182,
